Date, Pullups, Squat Jumps, Pushups, Situps, 60-Second Squat Thrusts
2022-10-06, 10, 30, 50, 20, 10
2023-10-08, 11, 30, 55, 39, 19
2024-10-06, 15, 40, 56, 40, 18
